q1     q2   q3   q4  q5   q6   t1
-7.000723444842300580e-01  -1.499837858513842548e+00  1.999691502810929222e+00  -2.269529400948050224e+00  -1.570043039947977448e+00  -4.020557894721084935e+00  0.000000000000000000e+00
-7.000699136969679159e-01  -1.499834000960241553e+00  1.999686406979105158e+00  -2.269517036140976884e+00  -1.570024101899700320e+00  -4.020557612906795697e+00  7.762694358825683594e-02
-7.013868599411914317e-01  -1.502572326104482769e+00  2.002483225614417162e+00  -2.271256693067048360e+00  -1.575918876701663862e+00  -4.016271136308623646e+00  1.619551181793212891e-01
-7.042352062600407692e-01  -1.521320371190304499e+00  2.021588236677492212e+00  -2.279632095970132610e+00  -1.611648913688039642e+00  -3.986175774057148846e+00  2.388510704040527344e-01
-6.848950889703031564e-01  -1.545037069345955416e+00  2.045724813485654714e+00  -2.274194277847368717e+00  -1.643067727298175740e+00  -3.945308514289248780e+00  3.064451217651367188e-01
-6.594578602375165133e-01  -1.566695457807266934e+00  2.067593087503042604e+00  -2.258098085523569054e+00  -1.671023824255225776e+00  -3.904607323825123988e+00  3.609459400177001953e-01
-6.403133855386036188e-01  -1.585425203098642655e+00  2.086257435171042562e+00  -2.240585340076468590e+00  -1.695206302960865941e+00  -3.867778838807636621e+00  4.079871177673339844e-01
-6.208311387653910884e-01  -1.607724740946018471e+00  2.108231045423880179e+00  -2.218852895256456570e+00  -1.722465089517665859e+00  -3.822003269070599174e+00  4.644799232482910156e-01
-6.037212809464405083e-01  -1.630644684303858227e+00  2.130687367109417529e+00  -2.194961260460680741e+00  -1.751461817010394384e+00  -3.773527861742636880e+00  5.167679786682128906e-01
-5.901577629682783765e-01  -1.653500347005792293e+00  2.153019598796680256e+00  -2.168983344216432130e+00  -1.783412960114267420e+00  -3.723777585601386608e+00  5.760729312896728516e-01
-5.793462270380409507e-01  -1.675708617903953979e+00  2.174538205016480319e+00  -2.141857598639032467e+00  -1.817050447063769170e+00  -3.673644534637924508e+00  6.309270858764648438e-01
-5.714888396889161726e-01  -1.691162024681553078e+00  2.189389314333455516e+00  -2.121859991492758724e+00  -1.840641793614857136e+00  -3.637682324685549862e+00  6.727991104125976562e-01
-5.583154303832040810e-01  -1.712092417382889309e+00  2.209437880011280608e+00  -2.093229287506834346e+00  -1.871236127599271271e+00  -3.587466465833762275e+00  7.244861125946044922e-01
-5.470194857121795096e-01  -1.726384063712917083e+00  2.223095555199642970e+00  -2.072581118288221447e+00  -1.890727203282970947e+00  -3.551998181655537046e+00  7.697420120239257812e-01
-5.313969799528051041e-01  -1.742610875558991523e+00  2.238566182653142445e+00  -2.047910470030046781e+00  -1.911011910943869907e+00  -3.510176445568074399e+00  8.128979206085205078e-01
-5.168967917656681621e-01  -1.755249895271889571e+00  2.250562783964504820e+00  -2.027785585600422102e+00  -1.925210475096697849e+00  -3.476192178801949417e+00  8.553919792175292969e-01
-4.948691189648553035e-01  -1.771342043080792905e+00  2.265729684738329475e+00  -2.000689504396410356e+00  -1.940926396675346055e+00  -3.430431011289748700e+00  9.130499362945556641e-01
-4.781651254949057517e-01  -1.781593272767569403e+00  2.275309708138442133e+00  -1.982394707816784063e+00  -1.949257863455883921e+00  -3.399164547716873930e+00  9.525921344757080078e-01
-4.557779649556428225e-01  -1.792419357026235005e+00  2.285309269207254079e+00  -1.961901583969257956e+00  -1.956244095398218974e+00  -3.363381046600473656e+00  1.004529953002929688e+00
-4.341635383578301699e-01  -1.800131512882845897e+00  2.292362385639428624e+00  -1.946111244465019929e+00  -1.959663471932405088e+00  -3.335112445291799066e+00  1.041439056396484375e+00
-4.097796338827546236e-01  -1.806609991763611589e+00  2.298221604812790808e+00  -1.931642262618193939e+00  -1.960301460303828236e+00  -3.308328605488586316e+00  1.078649044036865234e+00
-3.829288778388182379e-01  -1.811820483910597801e+00  2.302827096729890055e+00  -1.918645432510781568e+00  -1.957476706165703462e+00  -3.283111001452374111e+00  1.122757911682128906e+00
-3.424772711355297261e-01  -1.816864628650350255e+00  2.307018625992214744e+00  -1.903011736653193786e+00  -1.948076200931177837e+00  -3.250568613386674244e+00  1.172131061553955078e+00
-3.123152668434663326e-01  -1.818666548125774440e+00  2.308244403484502438e+00  -1.893810903506305543e+00  -1.938082133168041565e+00  -3.229314159775549253e+00  1.216690063476562500e+00
-2.817774725050794515e-01  -1.818778094848049420e+00  2.307806382419467894e+00  -1.886467342461218166e+00  -1.925909700348153564e+00  -3.209731068359511053e+00  1.257326126098632812e+00
-2.512642066233041760e-01  -1.816952407952562076e+00  2.305445069693693227e+00  -1.881306470241493223e+00  -1.911978682712553557e+00  -3.191664045460336663e+00  1.299081087112426758e+00
-2.210312911211911313e-01  -1.812948204595800306e+00  2.300951348984618505e+00  -1.878578122492930547e+00  -1.896398102666378982e+00  -3.174988420962861824e+00  1.336597919464111328e+00
-1.915720356535413060e-01  -1.807019695794687131e+00  2.294558840430156010e+00  -1.878090289901505727e+00  -1.879668721740478610e+00  -3.159669368391099908e+00  1.374490022659301758e+00
-1.633206220055676283e-01  -1.799505399539648387e+00  2.286614555116941006e+00  -1.879529161818854988e+00  -1.862174047466503168e+00  -3.145684739013149933e+00  1.415636062622070312e+00
-1.367415328796681706e-01  -1.790866232502597910e+00  2.277557571967715688e+00  -1.882547550751315413e+00  -1.844334270670901610e+00  -3.133046163082062296e+00  1.458997964859008789e+00
-1.074104958798436371e-01  -1.779484958655734417e+00  2.265715373509854302e+00  -1.887805349305391900e+00  -1.822688211461351848e+00  -3.119512471746337390e+00  1.501100063323974609e+00
-8.086013739405650824e-02  -1.767284199611235174e+00  2.253093624116765170e+00  -1.894500052486101538e+00  -1.801131078594564450e+00  -3.107536866608112458e+00  1.548444032669067383e+00
