tif_tot   t1   iter_no
1.213777308202037997e+00  0.000000000000000000e+00  1.000000000000000000e+00
1.162654162383415235e+00  7.762694358825683594e-02  2.000000000000000000e+00
1.131018528320437699e+00  1.619551181793212891e-01  3.000000000000000000e+00
1.117181778808097992e+00  2.388510704040527344e-01  4.000000000000000000e+00
1.075311927728579864e+00  3.064451217651367188e-01  5.000000000000000000e+00
1.078550447968610326e+00  3.609459400177001953e-01  6.000000000000000000e+00
1.060466772779702582e+00  4.079871177673339844e-01  7.000000000000000000e+00
1.049286031622563176e+00  4.644799232482910156e-01  8.000000000000000000e+00
1.033529598564274288e+00  5.167679786682128906e-01  9.000000000000000000e+00
1.020504113284346870e+00  5.760729312896728516e-01  1.000000000000000000e+01
1.009657698864394604e+00  6.309270858764648438e-01  1.100000000000000000e+01
1.000429395037148783e+00  6.727991104125976562e-01  1.200000000000000000e+01
9.902861170189936058e-01  7.244861125946044922e-01  1.300000000000000000e+01
9.802481464796246602e-01  7.697420120239257812e-01  1.400000000000000000e+01
9.704394034748611286e-01  8.128979206085205078e-01  1.500000000000000000e+01
9.604916335844890796e-01  8.553919792175292969e-01  1.600000000000000000e+01
9.481362837197926385e-01  9.130499362945556641e-01  1.700000000000000000e+01
9.365822006128529109e-01  9.525921344757080078e-01  1.800000000000000000e+01
9.231726630143314294e-01  1.004529953002929688e+00  1.900000000000000000e+01
9.074317585281672649e-01  1.041439056396484375e+00  2.000000000000000000e+01
8.871870906500445297e-01  1.078649044036865234e+00  2.100000000000000000e+01
8.614106181099445703e-01  1.122757911682128906e+00  2.200000000000000000e+01
8.405189228697012016e-01  1.172131061553955078e+00  2.300000000000000000e+01
8.223628514759198094e-01  1.216690063476562500e+00  2.400000000000000000e+01
8.028066873349580801e-01  1.257326126098632812e+00  2.500000000000000000e+01
7.835058733985273971e-01  1.299081087112426758e+00  2.600000000000000000e+01
7.655244109180787682e-01  1.336597919464111328e+00  2.700000000000000000e+01
7.480614594888239655e-01  1.374490022659301758e+00  2.800000000000000000e+01
7.308108223415055171e-01  1.415636062622070312e+00  2.900000000000000000e+01
7.146059341490602623e-01  1.458997964859008789e+00  3.000000000000000000e+01
6.993769724992320302e-01  1.501100063323974609e+00  3.100000000000000000e+01
6.819054223924106983e-01  1.548444032669067383e+00  3.200000000000000000e+01
6.616091749528784094e-01  1.593266963958740234e+00  3.300000000000000000e+01
6.418355178264276706e-01  1.642514944076538086e+00  3.400000000000000000e+01
6.233010917550522167e-01  1.680409908294677734e+00  3.500000000000000000e+01
6.037747620765696599e-01  1.724509954452514648e+00  3.600000000000000000e+01
5.872056237161065173e-01  1.761847019195556641e+00  3.700000000000000000e+01
5.694384930551508184e-01  1.807368993759155273e+00  3.800000000000000000e+01
5.541453968989725754e-01  1.843822002410888672e+00  3.900000000000000000e+01
5.387307510198873217e-01  1.879075050354003906e+00  4.000000000000000000e+01
5.257168271692351791e-01  1.914835929870605469e+00  4.100000000000000000e+01
5.146719337473886213e-01  1.939223051071166992e+00  4.200000000000000000e+01
5.036478698267577991e-01  1.970659971237182617e+00  4.300000000000000000e+01
4.900381098148396397e-01  2.008872032165527344e+00  4.400000000000000000e+01
1.175989833059411627e+00  2.819404125213623047e+00  4.500000000000000000e+01
1.227319745734909429e+00  2.889881134033203125e+00  4.600000000000000000e+01
1.217003862755172472e+00  2.972275972366333008e+00  4.700000000000000000e+01
1.214981240526989748e+00  3.047269105911254883e+00  4.800000000000000000e+01
1.209344451335906623e+00  3.124273061752319336e+00  4.900000000000000000e+01
1.206461082255939621e+00  3.176687002182006836e+00  5.000000000000000000e+01
1.203979207734593881e+00  3.234429121017456055e+00  5.100000000000000000e+01
1.175482797567634075e+00  3.307126045227050781e+00  5.200000000000000000e+01
1.136067415139261350e+00  3.400244951248168945e+00  5.300000000000000000e+01
1.112659189783375080e+00  3.472902059555053711e+00  5.400000000000000000e+01
1.096182742398248866e+00  3.517270088195800781e+00  5.500000000000000000e+01
1.054679222028934493e+00  3.570809125900268555e+00  5.600000000000000000e+01
1.028576157281895664e+00  3.625555992126464844e+00  5.700000000000000000e+01
1.013634718053507244e+00  3.673273086547851562e+00  5.800000000000000000e+01
9.976243898780385866e-01  3.708769083023071289e+00  5.900000000000000000e+01
9.769273832001359459e-01  3.759491920471191406e+00  6.000000000000000000e+01
9.613917689417167400e-01  3.813966035842895508e+00  6.100000000000000000e+01
9.470958322833138432e-01  3.857499122619628906e+00  6.200000000000000000e+01
9.301110171788193881e-01  3.904251098632812500e+00  6.300000000000000000e+01
9.065629540387953877e-01  3.950891971588134766e+00  6.400000000000000000e+01
8.790847065047986408e-01  3.999288082122802734e+00  6.500000000000000000e+01
8.580181611438297828e-01  4.045838117599487305e+00  6.600000000000000000e+01
8.425410033399043375e-01  4.086264133453369141e+00  6.700000000000000000e+01
8.257940690573657427e-01  4.129485130310058594e+00  6.800000000000000000e+01
8.079077421821537763e-01  4.172964096069335938e+00  6.900000000000000000e+01
7.909864591566982961e-01  4.217416048049926758e+00  7.000000000000000000e+01
7.748872772306392154e-01  4.255203008651733398e+00  7.100000000000000000e+01
7.578196732594066898e-01  4.300692081451416016e+00  7.200000000000000000e+01
7.401992496129957688e-01  4.348093986511230469e+00  7.300000000000000000e+01
7.252323854309090656e-01  4.385823965072631836e+00  7.400000000000000000e+01
7.097792253479567881e-01  4.423205137252807617e+00  7.500000000000000000e+01
6.929671058517572479e-01  4.471358060836791992e+00  7.600000000000000000e+01
6.766753374128632315e-01  4.514864921569824219e+00  7.700000000000000000e+01
6.579020000540540813e-01  4.558875083923339844e+00  7.800000000000000000e+01
6.394919693163784169e-01  4.596605062484741211e+00  7.900000000000000000e+01
6.215794066880329094e-01  4.637047052383422852e+00  8.000000000000000000e+01
6.055592337214772414e-01  4.675396919250488281e+00  8.100000000000000000e+01
5.870417843605340025e-01  4.716756105422973633e+00  8.200000000000000000e+01
5.679377333310106080e-01  4.770008087158203125e+00  8.300000000000000000e+01
5.488674489217109098e-01  4.815212965011596680e+00  8.400000000000000000e+01
5.301128920617766971e-01  4.865121126174926758e+00  8.500000000000000000e+01
5.145546865503930478e-01  4.901504993438720703e+00  8.600000000000000000e+01
4.995571820611167668e-01  4.942274093627929688e+00  8.700000000000000000e+01
1.203040584192624607e+00  5.770046949386596680e+00  8.800000000000000000e+01
1.181863873869145376e+00  5.845366954803466797e+00  8.900000000000000000e+01
1.167872489300716854e+00  5.942909955978393555e+00  9.000000000000000000e+01
1.182320477351976207e+00  6.033246994018554688e+00  9.100000000000000000e+01
1.155461206351010350e+00  6.128037929534912109e+00  9.200000000000000000e+01
1.110700559674395960e+00  6.209948062896728516e+00  9.300000000000000000e+01
1.097097148207102357e+00  6.279330015182495117e+00  9.400000000000000000e+01
1.083328740054704031e+00  6.330522060394287109e+00  9.500000000000000000e+01
1.066187520824133372e+00  6.376608133316040039e+00  9.600000000000000000e+01
1.050727215711418694e+00  6.434371948242187500e+00  9.700000000000000000e+01
1.038305954399045383e+00  6.493238925933837891e+00  9.800000000000000000e+01
1.028695620109455033e+00  6.551938056945800781e+00  9.900000000000000000e+01
1.020126692348486852e+00  6.621366977691650391e+00  1.000000000000000000e+02
1.004388593813415609e+00  6.671046018600463867e+00  1.010000000000000000e+02
9.939946567889694773e-01  6.725064992904663086e+00  1.020000000000000000e+02
9.814456026833431324e-01  6.787094116210937500e+00  1.030000000000000000e+02
9.705712035717067865e-01  6.839424133300781250e+00  1.040000000000000000e+02
9.617988079398953616e-01  6.890905141830444336e+00  1.050000000000000000e+02
9.494530217365284575e-01  6.942469120025634766e+00  1.060000000000000000e+02
9.355986572376937538e-01  7.012915134429931641e+00  1.070000000000000000e+02
9.236368013723016412e-01  7.058661937713623047e+00  1.080000000000000000e+02
9.099207253321449640e-01  7.097594976425170898e+00  1.090000000000000000e+02
8.899827957158814584e-01  7.141798973083496094e+00  1.100000000000000000e+02
8.597549192567046639e-01  7.188193082809448242e+00  1.110000000000000000e+02
8.341750344604323963e-01  7.262525081634521484e+00  1.120000000000000000e+02
8.119943055254801312e-01  7.309572935104370117e+00  1.130000000000000000e+02
7.908196545955997747e-01  7.356182098388671875e+00  1.140000000000000000e+02
7.695797289664383367e-01  7.398355960845947266e+00  1.150000000000000000e+02
7.483855558602554581e-01  7.438699007034301758e+00  1.160000000000000000e+02
7.279581634654372913e-01  7.490272045135498047e+00  1.170000000000000000e+02
7.074124951647116077e-01  7.540199995040893555e+00  1.180000000000000000e+02
6.892852558250989192e-01  7.579401016235351562e+00  1.190000000000000000e+02
6.730298526179218088e-01  7.618016958236694336e+00  1.200000000000000000e+02
6.551394728695927316e-01  7.664809942245483398e+00  1.210000000000000000e+02
6.393525477896984111e-01  7.698122024536132812e+00  1.220000000000000000e+02
6.236338736407585071e-01  7.730406045913696289e+00  1.230000000000000000e+02
6.075845936673713865e-01  7.764045000076293945e+00  1.240000000000000000e+02
5.911372120861153601e-01  7.804390907287597656e+00  1.250000000000000000e+02
5.765275571254975251e-01  7.837167024612426758e+00  1.260000000000000000e+02
5.614774205978479982e-01  7.880043029785156250e+00  1.270000000000000000e+02
5.467841357301165273e-01  7.918767929077148438e+00  1.280000000000000000e+02
5.332317562813845280e-01  7.948722124099731445e+00  1.290000000000000000e+02
5.207585117452129264e-01  7.982350111007690430e+00  1.300000000000000000e+02
5.096633573835015474e-01  8.016704082489013672e+00  1.310000000000000000e+02
4.972468065129173054e-01  8.043692111968994141e+00  1.320000000000000000e+02
1.199215209346899069e+00  8.873434066772460938e+00  1.330000000000000000e+02
1.250241270622802547e+00  8.956838130950927734e+00  1.340000000000000000e+02
1.247751024004614351e+00  9.025103092193603516e+00  1.350000000000000000e+02
1.242706157971525283e+00  9.097414970397949219e+00  1.360000000000000000e+02
1.230892674773635953e+00  9.166579961776733398e+00  1.370000000000000000e+02
1.221621949007113628e+00  9.224725008010864258e+00  1.380000000000000000e+02
1.201526554403694380e+00  9.280334949493408203e+00  1.390000000000000000e+02
1.149970029628568424e+00  9.362565994262695312e+00  1.400000000000000000e+02
1.133305390106554622e+00  9.428997039794921875e+00  1.410000000000000000e+02
1.092355994487386628e+00  9.493087053298950195e+00  1.420000000000000000e+02
1.067242734600348797e+00  9.561224937438964844e+00  1.430000000000000000e+02
1.032391867489308668e+00  9.620378017425537109e+00  1.440000000000000000e+02
1.007989038828408512e+00  9.678735017776489258e+00  1.450000000000000000e+02
9.891001100399143819e-01  9.728518009185791016e+00  1.460000000000000000e+02
9.787798618472096646e-01  9.790163993835449219e+00  1.470000000000000000e+02
9.752883835440085969e-01  9.845021963119506836e+00  1.480000000000000000e+02
9.653278802433368222e-01  9.911456108093261719e+00  1.490000000000000000e+02
9.467930973590195087e-01  9.972082138061523438e+00  1.500000000000000000e+02
9.219180581070918201e-01  1.002382493019104004e+01  1.510000000000000000e+02
8.873328584431482424e-01  1.010520100593566895e+01  1.520000000000000000e+02
8.613525911059380924e-01  1.015255212783813477e+01  1.530000000000000000e+02
8.962619144985217723e-01  1.019730401039123535e+01  1.540000000000000000e+02
8.714212784967381165e-01  1.029086995124816895e+01  1.550000000000000000e+02
8.219283529536287602e-01  1.035160398483276367e+01  1.560000000000000000e+02
7.828383615173380994e-01  1.042228198051452637e+01  1.570000000000000000e+02
7.569589053856372596e-01  1.047647404670715332e+01  1.580000000000000000e+02
7.373367022063688214e-01  1.051653194427490234e+01  1.590000000000000000e+02
7.216010022108654276e-01  1.055180597305297852e+01  1.600000000000000000e+02
7.060439486822667199e-01  1.058931303024291992e+01  1.610000000000000000e+02
6.907248414565454464e-01  1.062902092933654785e+01  1.620000000000000000e+02
6.768193658894974263e-01  1.066574907302856445e+01  1.630000000000000000e+02
6.605506784507735318e-01  1.070836400985717773e+01  1.640000000000000000e+02
6.444663488452149203e-01  1.074491596221923828e+01  1.650000000000000000e+02
6.282091363784050309e-01  1.078342700004577637e+01  1.660000000000000000e+02
6.093906986684902716e-01  1.083746194839477539e+01  1.670000000000000000e+02
5.916166061648890917e-01  1.087802290916442871e+01  1.680000000000000000e+02
5.726779938806014769e-01  1.091865897178649902e+01  1.690000000000000000e+02
5.552458561822424254e-01  1.096318411827087402e+01  1.700000000000000000e+02
5.376169778975733449e-01  1.101318693161010742e+01  1.710000000000000000e+02
5.199938512613473396e-01  1.105711102485656738e+01  1.720000000000000000e+02
5.044384230048871709e-01  1.110032200813293457e+01  1.730000000000000000e+02
4.877298393807988353e-01  1.113540005683898926e+01  1.740000000000000000e+02
1.171612354087889774e+00  1.194332408905029297e+01  1.750000000000000000e+02
1.212194744946757163e+00  1.202399110794067383e+01  1.760000000000000000e+02
1.211006186213105407e+00  1.210181403160095215e+01  1.770000000000000000e+02
1.206960789093040720e+00  1.216559696197509766e+01  1.780000000000000000e+02
1.118852790564069277e+00  1.226371097564697266e+01  1.790000000000000000e+02
1.124084937511428350e+00  1.231108808517456055e+01  1.800000000000000000e+02
