v1     v2   v3   v4  v5   v6   t1
1.190000000000000058e-04  6.000000000000000152e-05  0.000000000000000000e+00  0.000000000000000000e+00  -6.200000000000000270e-05  1.800000000000000113e-04  0.000000000000000000e+00
5.899999999999999754e-05  -5.899999999999999754e-05  0.000000000000000000e+00  0.000000000000000000e+00  -6.200000000000000270e-05  0.000000000000000000e+00  9.168386459350585938e-02
-5.093799999999999717e-02  -1.127959999999999935e-01  1.099289999999999989e-01  -6.395099999999999396e-02  -2.454639999999999878e-01  1.711830000000000018e-01  1.770660877227783203e-01
4.438000000000000105e-03  -2.776669999999999972e-01  2.727240000000000220e-01  -8.221199999999999342e-02  -5.114710000000000090e-01  4.398259999999999947e-01  2.385680675506591797e-01
3.512839999999999852e-01  -3.791089999999999738e-01  3.721860000000000168e-01  1.845860000000000001e-01  -5.289249999999999785e-01  6.822719999999999896e-01  3.189399242401123047e-01
3.616199999999999970e-01  -3.786619999999999986e-01  3.726639999999999953e-01  3.183980000000000143e-01  -6.041680000000000383e-01  7.456329999999999902e-01  3.694500923156738281e-01
3.117980000000000196e-01  -3.846379999999999799e-01  3.770720000000000183e-01  3.556369999999999809e-01  -6.110989999999999478e-01  7.704699999999999882e-01  4.113819599151611328e-01
2.930989999999999984e-01  -3.961779999999999746e-01  3.851979999999999849e-01  3.924460000000000170e-01  -5.851180000000000270e-01  8.297619999999999996e-01  4.774050712585449219e-01
3.141689999999999761e-01  -4.113769999999999927e-01  3.991870000000000140e-01  4.592499999999999916e-01  -5.671289999999999942e-01  9.024940000000000184e-01  5.459609031677246094e-01
3.472370000000000179e-01  -4.120179999999999954e-01  3.982339999999999769e-01  4.985789999999999944e-01  -5.511359999999999593e-01  9.253789999999999516e-01  5.993080139160156250e-01
3.143880000000000008e-01  -4.067490000000000272e-01  3.937010000000000232e-01  5.108160000000000478e-01  -5.355539999999999745e-01  9.029049999999999576e-01  6.402668952941894531e-01
2.710489999999999844e-01  -3.854079999999999728e-01  3.703199999999999825e-01  5.065119999999999623e-01  -5.152079999999999993e-01  8.755270000000000552e-01  6.960399150848388672e-01
2.761509999999999798e-01  -3.664129999999999887e-01  3.514990000000000059e-01  5.070240000000000302e-01  -4.739999999999999769e-01  8.669459999999999944e-01  7.443900108337402344e-01
2.993589999999999862e-01  -3.505150000000000210e-01  3.342069999999999763e-01  5.080759999999999721e-01  -4.252770000000000161e-01  8.601799999999999446e-01  7.838940620422363281e-01
3.254810000000000203e-01  -3.321250000000000036e-01  3.165720000000000200e-01  5.040620000000000100e-01  -3.723549999999999915e-01  8.491210000000000147e-01  8.295710086822509766e-01
3.540579999999999838e-01  -3.077300000000000035e-01  2.920519999999999783e-01  4.914029999999999787e-01  -3.070800000000000196e-01  8.284430000000000405e-01  8.758120536804199219e-01
3.741809999999999858e-01  -2.787620000000000098e-01  2.636769999999999947e-01  4.704300000000000148e-01  -2.408579999999999888e-01  7.989190000000000458e-01  9.255869388580322266e-01
3.935939999999999994e-01  -2.521160000000000068e-01  2.382920000000000038e-01  4.451729999999999854e-01  -1.874069999999999903e-01  7.730489999999999862e-01  9.664149284362792969e-01
4.657859999999999778e-01  -2.188440000000000107e-01  2.048470000000000013e-01  4.133189999999999920e-01  -1.237489999999999979e-01  7.375880000000000214e-01  1.007659912109375000e+00
5.267920000000000380e-01  -1.950230000000000019e-01  1.819399999999999906e-01  3.902430000000000065e-01  -8.175799999999999734e-02  7.115249999999999631e-01  1.045984983444213867e+00
5.945080000000000364e-01  -1.643679999999999863e-01  1.521879999999999900e-01  3.572719999999999785e-01  -1.086999999999999945e-02  6.758210000000000051e-01  1.083371877670288086e+00
6.512059999999999516e-01  -1.328900000000000081e-01  1.209709999999999952e-01  3.217039999999999900e-01  7.128500000000000114e-02  6.379580000000000251e-01  1.126435995101928711e+00
