a1     a2   a3   a4  a5   a6   t1
3.141592653589793116e+00  -2.044582743409944781e-01  2.273357296170597508e-01  2.393290797960813954e-01  2.788961914536817854e+00  4.301417863506551975e-01  0.000000000000000000e+00
-7.381159507360655070e-01  -2.789549935144218229e-01  3.257306196451375535e-01  2.208709183133704013e+00  -3.141592653589793116e+00  6.581239029980867628e-01  9.168386459350585938e-02
3.141592634458636901e+00  -2.514483813079549934e-01  6.349002019450634693e-01  4.394611428949712906e-01  6.735835148238178416e-01  -5.423073367604838019e-02  1.770660877227783203e-01
3.141592653589793116e+00  6.371514481164090860e-02  8.091440648344392361e-01  7.914646199178103636e-01  3.141592653589793116e+00  -6.127997717121627663e-02  2.385680675506591797e-01
3.141592653589793116e+00  4.818683163753105791e-01  3.268519535066599646e-01  8.618036166898930261e-01  3.141592653589793116e+00  -5.750491777598847748e-02  3.189399242401123047e-01
3.141592653589793116e+00  6.403919966802523733e-01  -1.560949110858535493e-01  7.727856060263333937e-01  3.141592620788400403e+00  -1.639838836344837680e-01  3.694500923156738281e-01
3.300521222774943086e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -3.013551489825154195e-01  4.113819599151611328e-01
3.141592653589793116e+00  8.175077219883684077e-01  -4.607636634044530721e-01  1.250503968509174002e-01  3.141592653589793116e+00  -1.912382286742391746e-01  4.774050712585449219e-01
3.141592653589793116e+00  1.187218675172994731e+00  -7.590463518040113655e-01  -1.797152980509853781e-01  3.141592653589793116e+00  -2.396087044272274813e-01  5.459609031677246094e-01
4.946838595698296315e-01  3.141592620222833254e+00  -3.141592622783405453e+00  -3.141592474458120954e+00  3.141592624769460773e+00  -3.305023399402193807e-01  5.993080139160156250e-01
2.944574706718415813e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -3.252276945909028383e-01  6.402668952941894531e-01
1.873367794934143182e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -3.224025823876610075e-01  6.960399150848388672e-01
4.844899231791832683e-02  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -3.568221267303218203e-01  7.443900108337402344e-01
-7.214032790155988639e-02  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -3.263392894858472282e-01  7.838940620422363281e-01
-1.533033583887090656e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -3.230141722495763479e-01  8.295710086822509766e-01
-3.805639628945023389e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653588284545e+00  3.141592653589793116e+00  -3.298987440823221706e-01  8.758120536804199219e-01
-6.461001444999765475e-01  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -3.199378763149562377e-01  9.255869388580322266e-01
-7.549396715113930734e-01  3.141592481497597067e+00  -3.141592530764441449e+00  -3.141592302671524894e+00  3.141592192564992114e+00  -3.199922578560381869e-01  9.664149284362792969e-01
-1.252048828411317816e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -3.184965184252471770e-01  1.007659912109375000e+00
-1.884028293497913564e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  3.141592653589793116e+00  -3.187844635213279432e-01  1.045984983444213867e+00
-3.128273180436332623e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  2.997169652620242264e+00  -3.251412384981655634e-01  1.083371877670288086e+00
-3.141592653589793116e+00  3.141592653589793116e+00  -3.141592653589793116e+00  -3.141592653589793116e+00  1.233862162817224384e+00  -3.264114841604831563e-01  1.126435995101928711e+00
-2.737178152340942638e+00  2.553475625539493254e+00  -2.774545746616930764e+00  -2.525414362948048996e+00  4.001481855846639873e-02  -3.063421581241291269e-01  1.173667907714843750e+00
-2.946033917194758267e+00  2.236310743215398134e+00  -2.435023376545851548e+00  -2.209544600439584450e+00  -9.472785925246779426e-01  -2.955965744111817561e-01  1.211005926132202148e+00
-3.026340198111001190e+00  1.421315699802300880e+00  -1.808078528090039105e+00  -1.626499934034456807e+00  -2.060644270073623385e+00  -2.787462302212702081e-01  1.247828960418701172e+00
-3.091541828441655149e+00  7.177824986091512205e-01  -1.256689339558063390e+00  -1.235126393452056437e+00  -3.141592653589793116e+00  -2.730243787157750623e-01  1.288775920867919922e+00
-3.062559866530970343e+00  4.510107743905439337e-01  -1.026184366414419236e+00  -1.070411047410712024e+00  -3.141592653589793116e+00  -2.658042434311488900e-01  1.327672004699707031e+00
-2.993260734657045674e+00  -4.221908293566148385e-02  -6.259584626920319250e-01  -8.000219323370573177e-01  -3.141592653589793116e+00  -2.413706278463838284e-01  1.366957902908325195e+00
-2.970950051737139663e+00  -3.427502422351426103e-01  -3.794323709728506522e-01  -6.195047266298847610e-01  -3.141592653589793116e+00  -2.273191487509444164e-01  1.410113096237182617e+00
