  a1     a2    a3    a4   a5    a6   t1
1.487500000000000107e-02  -7.374999999999999611e-03  -7.499999999999999722e-03  0.000000000000000000e+00  2.262499999999999928e-02  0.000000000000000000e+00  0.000000000000000000e+00
-7.500000000000002325e-03  2.224999999999999895e-02  2.199999999999999872e-02  6.012499999999999789e-02  -1.487500000000000107e-02  0.000000000000000000e+00  9.168386459350585938e-02
-3.072125000000000217e+00  -1.837500000000000577e+00  -1.845624999999999183e+00  -2.598374999999999879e+00  -6.226375000000002657e+00  2.696250000000000036e-01  1.770660877227783203e-01
-4.996250000000035385e-01  -2.389874999999999527e+00  1.148625000000000229e+00  -3.077499999999989688e-01  -4.137499999999905143e-01  -8.725000000000009137e-02  2.385680675506591797e-01
2.201874999999998916e+00  -1.107875000000001275e+00  3.220874999999999932e+00  -2.612499999999837175e-02  3.870125000000002036e+00  9.543750000000003064e-01  3.189399242401123047e-01
2.135124999999999940e+00  -5.324999999999981970e-01  1.900499999999999412e+00  1.523499999999996968e+00  -9.761249999999995763e-01  1.118624999999999758e+00  3.694500923156738281e-01
2.012625000000000330e+00  -2.581249999999979394e-01  8.652500000000048486e-01  2.786000000000000032e+00  -3.858250000000000401e+00  7.648750000000016369e-01  4.113819599151611328e-01
1.408500000000000085e+00  -4.410000000000038889e-01  7.729999999999959126e-01  2.057624999999998483e+00  -3.045125000000002746e+00  3.602499999999994595e-01  4.774050712585449219e-01
1.891624999999993895e+00  -5.016249999999985443e-01  8.758750000000050662e-01  1.447375000000000744e+00  -8.731250000000023714e-01  1.894999999999986973e-01  5.459609031677246094e-01
-2.873749999999994365e-01  -1.943749999999966338e-01  5.096249999999996616e-01  1.016500000000003512e+00  4.524999999999668177e-02  8.250000000001311840e-03  5.993080139160156250e-01
-9.844999999999992646e-01  2.281249999999956923e-01  1.538749999999977636e-01  6.465000000000011848e-01  3.787499999999277556e-02  -9.037500000000017741e-02  6.402668952941894531e-01
3.172499999999980891e-01  2.863749999999984364e-01  3.750000000003750333e-03  6.032500000000065032e-01  3.318749999999953681e-01  -7.287500000000002309e-02  6.960399150848388672e-01
9.762499999999979527e-01  2.722499999999947184e-01  6.624999999996217248e-03  5.385000000000041975e-01  8.023750000000079430e-01  -8.787499999999767719e-02  7.443900108337402344e-01
1.078124999999999112e+00  4.004999999999980798e-01  -7.512500000000227329e-02  4.219999999999987650e-01  1.118500000000008265e+00  -9.387500000000020828e-02  7.838940620422363281e-01
9.207499999999979590e-01  3.482500000000013363e-01  -1.702500000000037317e-01  1.988750000000011342e-01  1.290499999999999980e+00  -8.062500000000083489e-02  8.295710086822509766e-01
5.674999999999985612e-01  5.686250000000031557e-01  -4.879999999999953819e-01  -1.418749999999996403e-01  1.385625000000001439e+00  -1.486249999999994520e-01  8.758120536804199219e-01
2.790000000000014690e-01  7.636250000000038840e-01  -4.764999999999977587e-01  -1.286250000000002669e-01  1.393749999999999156e+00  -1.887499999999979472e-01  9.255869388580322266e-01
9.250000000002311928e-03  6.387500000000003730e-01  -6.512499999999989964e-01  -3.726250000000014273e-01  1.432875000000000121e+00  -2.126249999999975382e-01  9.664149284362792969e-01
1.299999999999912337e-02  6.881249999999977662e-01  -7.311250000000060201e-01  -4.553750000000009179e-01  1.402875000000001204e+00  -1.827499999999988856e-01  1.007659912109375000e+00
-1.174999999999093436e-02  8.267500000000010951e-01  -6.666249999999970255e-01  -5.697499999999938725e-01  1.404249999999999110e+00  -2.253749999999998810e-01  1.045984983444213867e+00
-6.099999999999161648e-02  7.713750000000012541e-01  -8.043749999999960654e-01  -5.968750000000035971e-01  1.302750000000000075e+00  -2.357499999999998486e-01  1.083371877670288086e+00
7.662499999999683453e-02  8.401250000000005658e-01  -8.838750000000061835e-01  -7.580000000000016724e-01  1.251625000000000210e+00  -2.850000000000005307e-01  1.126435995101928711e+00
5.075000000000218225e-02  8.964999999999979652e-01  -9.097500000000008358e-01  -7.683750000000016955e-01  1.315999999999999837e+00  -2.040000000000027902e-01  1.173667907714843750e+00
-8.999999999995123012e-03  1.023625000000000229e+00  -1.032124999999998405e+00  -9.551250000000011120e-01  1.420249999999999568e+00  -2.641250000000004428e-01  1.211005926132202148e+00
7.172500000000026077e-01  1.028124999999999512e+00  -1.104499999999997817e+00  -1.052124999999997534e+00  1.528750000000000497e+00  -2.411250000000000060e-01  1.247828960418701172e+00
1.136374999999995028e+00  1.258999999999999675e+00  -1.200124999999999886e+00  -1.195125000000001769e+00  1.457250000000000156e+00  -2.702499999999996572e-01  1.288775920867919922e+00
9.998749999999972937e-01  1.252499999999999947e+00  -1.262374999999999581e+00  -1.288375000000001380e+00  1.265374999999999028e+00  -2.607499999999988161e-01  1.327672004699707031e+00
7.066249999999885123e-01  1.154250000000000664e+00  -1.305874999999999675e+00  -1.298874999999999558e+00  1.000500000000001277e+00  -2.686249999999997806e-01  1.366957902908325195e+00
6.132499999999957430e-01  1.133000000000000229e+00  -1.155624999999999902e+00  -1.157874999999999988e+00  9.702499999999988356e-01  -2.216249999999996001e-01  1.410113096237182617e+00
7.646249999999910063e-01  1.145125000000000393e+00  -1.212874999999999481e+00  -1.223375000000000101e+00  1.165874999999996664e+00  -1.642499999999994520e-01  1.453684091567993164e+00
3.163750000000076223e-01  8.658749999999986180e-01  -9.903749999999998943e-01  -9.111249999999987415e-01  1.094749999999998558e+00  -1.663749999999998563e-01  1.502115964889526367e+00
-1.968749999999991340e-01  5.740000000000016200e-01  -7.199999999999984190e-01  -7.119999999999990781e-01  8.190000000000002833e-01  -1.358750000000005786e-01  1.542519092559814453e+00
-4.717500000000068860e-01  5.116249999999982201e-01  -6.261250000000017080e-01  -6.442500000000024318e-01  6.522499999999999964e-01  -1.694999999999995122e-01  1.578845977783203125e+00
