v1     v2   v3   v4  v5   v6   t1
0.000000000000000000e+00  -1.278317358810454607e-05  -0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00
0.000000000000000000e+00  -1.278317358810454607e-05  -0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  9.168386459350585938e-02
-4.815421625971794128e-02  -1.054611802101135254e-01  1.080050319433212280e-01  -6.277336925268173218e-02  -2.394208610057830811e-01  1.664848625659942627e-01  1.770660877227783203e-01
-1.105744484812021255e-02  -2.896411418914794922e-01  2.834029495716094971e-01  -9.982860088348388672e-02  -5.324831008911132812e-01  4.491448104381561279e-01  2.385680675506591797e-01
3.678869605064392090e-01  -3.883144557476043701e-01  3.787398636341094971e-01  1.786848008632659912e-01  -5.263231992721557617e-01  6.869357824325561523e-01  3.189399242401123047e-01
3.696254491806030273e-01  -3.780367970466613770e-01  3.707248270511627197e-01  3.218962848186492920e-01  -6.110037565231323242e-01  7.526812553405761719e-01  3.694500923156738281e-01
3.145811259746551514e-01  -3.874835669994354248e-01  3.807084858417510986e-01  3.643923699855804443e-01  -6.149585247039794922e-01  7.723593711853027344e-01  4.113819599151611328e-01
2.930926084518432617e-01  -3.951278924942016602e-01  3.835463523864746094e-01  3.964861035346984863e-01  -5.881618261337280273e-01  8.323284387588500977e-01  4.774050712585449219e-01
3.155909776687622070e-01  -4.129476249217987061e-01  3.991673886775970459e-01  4.590437710285186768e-01  -5.682919621467590332e-01  9.040659666061401367e-01  5.459609031677246094e-01
3.514222204685211182e-01  -4.158366322517395020e-01  3.993207812309265137e-01  4.955956637859344482e-01  -5.566193461418151855e-01  9.295204877853393555e-01  5.993080139160156250e-01
3.160511851310729980e-01  -4.078854918479919434e-01  3.930698037147521973e-01  5.144827961921691895e-01  -5.313805341720581055e-01  9.080687165260314941e-01  6.402668952941894531e-01
2.681270539760589600e-01  -3.872918188571929932e-01  3.698683381080627441e-01  5.120379924774169922e-01  -5.160407423973083496e-01  8.706539869308471680e-01  6.960399150848388672e-01
2.769091129302978516e-01  -3.667109012603759766e-01  3.520486056804656982e-01  5.030258893966674805e-01  -4.708122909069061279e-01  8.646618723869323730e-01  7.443900108337402344e-01
3.007752895355224609e-01  -3.488783836364746094e-01  3.322218954563140869e-01  5.083228945732116699e-01  -4.238101541996002197e-01  8.600599169731140137e-01  7.838940620422363281e-01
3.248971402645111084e-01  -3.288599252700805664e-01  3.181220591068267822e-01  5.013720393180847168e-01  -3.684430122375488281e-01  8.496575951576232910e-01  8.295710086822509766e-01
3.548992574214935303e-01  -3.072435855865478516e-01  2.923384010791778564e-01  4.891002178192138672e-01  -3.043513894081115723e-01  8.326879739761352539e-01  8.758120536804199219e-01
3.733837008476257324e-01  -2.765384018421173096e-01  2.639980912208557129e-01  4.729454815387725830e-01  -2.371438592672348022e-01  7.964715957641601562e-01  9.255869388580322266e-01
3.887490928173065186e-01  -2.488756030797958374e-01  2.374730110168457031e-01  4.434882402420043945e-01  -1.792360693216323853e-01  7.718080878257751465e-01  9.664149284362792969e-01
4.652691781520843506e-01  -2.154092639684677124e-01  2.011560201644897461e-01  4.169791340827941895e-01  -1.265773922204971313e-01  7.361430525779724121e-01  1.007659912109375000e+00
5.327771306037902832e-01  -1.914919465780258179e-01  1.826332062482833862e-01  3.962464332580566406e-01  -7.430219650268554688e-02  7.140681147575378418e-01  1.045984983444213867e+00
5.966418385505676270e-01  -1.633433848619461060e-01  1.493458151817321777e-01  3.636253774166107178e-01  -9.251821786165237427e-03  6.736093163490295410e-01  1.083371877670288086e+00
