  q1     q2   q3   q4  q5   q6   t1
-1.039871040974752248e+00  -1.135136906300679982e+00  1.545159816741943359e+00  -2.096853081380025685e+00  -1.569883171712056935e+00  -3.570129696522847951e+00  0.000000000000000000e+00
-1.039882961903707326e+00  -1.135113064442769826e+00  1.545159816741943359e+00  -2.096889321004049123e+00  -1.569883171712056935e+00  -3.570105854664937794e+00  7.902193069458007812e-02
-1.042519871388570607e+00  -1.136431996022359669e+00  1.543735980987548828e+00  -2.098661247883931935e+00  -1.574935261403219044e+00  -3.569255177174703419e+00  1.693830490112304688e-01
-1.056256596242086232e+00  -1.145375553761617482e+00  1.535957813262939453e+00  -2.109702412282125294e+00  -1.602722946797506154e+00  -3.562980715428487599e+00  2.330138683319091797e-01
-1.069142166768209279e+00  -1.163934532796041310e+00  1.536089420318603516e+00  -2.119904820119039357e+00  -1.626488987599508107e+00  -3.545797650014058888e+00  2.973999977111816406e-01
-1.072965447102681935e+00  -1.184686485921041310e+00  1.547469139099121094e+00  -2.126933876668111623e+00  -1.633038345967428029e+00  -3.527345720921651662e+00  3.494720458984375000e-01
-1.070148770009176076e+00  -1.207213226948873341e+00  1.564772129058837891e+00  -2.129532639180318654e+00  -1.642473045979635060e+00  -3.512114588414327443e+00  4.095110893249511719e-01
-1.055082146321431935e+00  -1.241164509450094044e+00  1.592940330505371094e+00  -2.120192352925435841e+00  -1.676740948353902638e+00  -3.494847361241475880e+00  4.888150691986083984e-01
-1.033913437520162404e+00  -1.274072472249166310e+00  1.622639656066894531e+00  -2.102984253560201466e+00  -1.721369091664449513e+00  -3.480023447667257130e+00  5.555369853973388672e-01
-1.013116184865133107e+00  -1.300805870686666310e+00  1.649024963378906250e+00  -2.088842217122213185e+00  -1.757281605397359669e+00  -3.469438378010885060e+00  6.180958747863769531e-01
-9.942963759051721695e-01  -1.327587429677144826e+00  1.676582813262939453e+00  -2.073358360921041310e+00  -1.790885273610250294e+00  -3.459116522465841115e+00  6.685419082641601562e-01
-9.796240965472620132e-01  -1.350268665944234669e+00  1.700156688690185547e+00  -2.056653801594869435e+00  -1.817939583455220998e+00  -3.450183693562642873e+00  7.154860496520996094e-01
-9.625662008868616226e-01  -1.372325245534078419e+00  1.723861694335937500e+00  -2.038212124501363576e+00  -1.842863384877340138e+00  -3.441658083592550099e+00  7.699968814849853516e-01
-9.429543654071252945e-01  -1.393040005360738576e+00  1.746921062469482422e+00  -2.018525425587789357e+00  -1.865248505269185841e+00  -3.433706823979512990e+00  8.161509037017822266e-01
