   tau1     tau2   tau3   tau4  tau5   tau6   t1
1.487500000000000107e-02  2.262499999999999928e-02  -7.374999999999999611e-03  7.499999999999998855e-03  1.487500000000000107e-02  7.374999999999999611e-03  0.000000000000000000e+00
7.500000000000000590e-03  7.500000000000000590e-03  0.000000000000000000e+00  -7.750000000000001679e-03  1.512500000000000129e-02  1.487500000000000107e-02  7.902193069458007812e-02
-3.023375000000000146e+00  -1.818375000000000519e+00  -1.733750000000000790e+00  -2.463249999999999940e+00  -6.049624999999998920e+00  1.218250000000000499e+00  1.693830490112304688e-01
1.946250000000003533e-01  -2.373250000000000526e+00  1.934750000000000636e+00  2.366250000000007236e-01  1.166500000000000759e+00  2.825000000000001066e+00  2.330138683319091797e-01
2.146249999999998881e+00  -1.295625000000001581e+00  3.339250000000000274e+00  3.743749999999996803e-01  4.283249999999995339e+00  8.952500000000002123e-01  2.973999977111816406e-01
1.938749999999999751e+00  -4.961250000000000382e-01  1.787999999999997813e+00  1.317124999999998769e+00  -9.445000000000008944e-01  -1.029374999999999041e+00  3.494720458984375000e-01
2.157124999999999293e+00  -3.978749999999989240e-01  6.897499999999958664e-01  2.443374999999999631e+00  -3.767750000000000377e+00  -8.563749999999994422e-01  4.095110893249511719e-01
1.204625000000000723e+00  -4.423750000000017946e-01  9.113749999999989360e-01  1.658500000000000307e+00  -2.610749999999995019e+00  -1.613750000000017948e-01  4.888150691986083984e-01
1.438500000000002332e+00  -2.686249999999945626e-01  8.990000000000039071e-01  -6.812499999999527267e-02  -1.721249999999951985e-01  -2.397500000000003795e-01  5.555369853973388672e-01
-7.087499999999941069e-01  -1.086250000000010818e-01  3.878750000000028009e-01  6.317500000000003668e-01  7.238749999999988249e-01  -7.012500000000074230e-02  6.180958747863769531e-01
-4.411250000000005445e-01  6.799999999999861711e-02  1.738749999999969487e-01  1.238625000000000087e+00  7.248749999999998250e-01  -3.887500000000071454e-02  6.685419082641601562e-01
7.993750000000049427e-01  3.009999999999957154e-01  -1.924999999999843503e-02  9.445000000000008944e-01  9.416249999999876108e-01  -1.465000000000007963e-01  7.154860496520996094e-01
1.198749999999998428e+00  4.397500000000026388e-01  -1.659999999999994813e-01  4.883749999999992264e-01  1.032749999999992063e+00  -1.691249999999991371e-01  7.699968814849853516e-01
1.126500000000002499e+00  5.479999999999998206e-01  -2.538750000000006279e-01  1.457500000000000462e-01  1.166000000000000369e+00  -1.846250000000007607e-01  8.161509037017822266e-01
8.622500000000018483e-01  6.036249999999965254e-01  -4.387500000000016387e-01  -7.924999999999599032e-02  1.293874999999999886e+00  -1.951250000000008533e-01  8.751230239868164062e-01
4.393750000000057332e-01  7.166249999999985132e-01  -5.762500000000003730e-01  -1.101249999999956430e-01  1.374250000000000416e+00  -2.333750000000009428e-01  9.165868759155273438e-01
1.174999999999926104e-01  9.138750000000014362e-01  -6.508750000000020908e-01  -3.443750000000009304e-01  1.333624999999998062e+00  -2.487500000000024414e-01  9.651849269866943359e-01
-1.039999999999929869e-01  7.778750000000042020e-01  -8.500000000000035305e-01  -6.288750000000009610e-01  1.304375000000000062e+00  -2.147499999999996634e-01  1.012017011642456055e+00
-1.073750000000067706e-01  8.783750000000006830e-01  -7.925000000000015365e-01  -5.878750000000015907e-01  1.434124999999997874e+00  -2.222499999999984766e-01  1.057060003280639648e+00
1.662500000000066702e-01  9.620000000000010765e-01  -8.836249999999989946e-01  -7.873749999999998250e-01  1.465000000000000080e+00  -2.098749999999999782e-01  1.103947877883911133e+00
3.857499999999902673e-01  1.033624999999999794e+00  -1.050624999999999476e+00  -9.171250000000047420e-01  1.568124999999999769e+00  -2.553750000000004072e-01  1.150172948837280273e+00
6.526250000000038964e-01  1.155625000000000346e+00  -1.117375000000000229e+00  -9.981250000000024825e-01  1.724124999999999908e+00  -2.533750000000001279e-01  1.184025049209594727e+00
1.463624999999996179e+00  1.292750000000000510e+00  -1.203499999999999792e+00  -1.187000000000000499e+00  1.812625000000001707e+00  -2.470000000000006912e-01  1.225925922393798828e+00
1.329625000000000945e+00  1.329625000000000057e+00  -1.224500000000001698e+00  -1.154874999999999652e+00  1.642625000000001778e+00  -2.482500000000001927e-01  1.272119045257568359e+00
8.073749999999990656e-01  1.232124999999999693e+00  -1.308375000000000510e+00  -1.262499999999999734e+00  1.103124999999996358e+00  -2.174999999999998046e-01  1.315610885620117188e+00
2.573749999999902505e-01  1.103375000000000217e+00  -1.221749999999999892e+00  -1.265500000000000069e+00  7.280000000000064198e-01  -1.970000000000001195e-01  1.354346036911010742e+00
8.550000000000224087e-02  1.030750000000000499e+00  -1.145750000000000046e+00  -1.176125000000000087e+00  8.648750000000010596e-01  -1.860000000000003872e-01  1.396485090255737305e+00
-2.501250000000038165e-01  8.368750000000008127e-01  -1.019749999999999712e+00  -8.884999999999995124e-01  8.475000000000010303e-01  -1.366250000000000242e-01  1.440834999084472656e+00
-5.617499999999997495e-01  5.818749999999990319e-01  -6.624999999999998668e-01  -7.251250000000000195e-01  5.352500000000010028e-01  -2.161249999999997340e-01  1.484446048736572266e+00
-8.385000000000059073e-01  3.577500000000004010e-01  -6.033749999999997726e-01  -6.398749999999998606e-01  4.662500000000013856e-01  -3.307500000000003215e-01  1.521796941757202148e+00
-9.288749999999956763e-01  4.537499999999992650e-01  -5.578749999999993436e-01  -5.444999999999998730e-01  4.792500000000005089e-01  -2.907500000000000084e-01  1.568804979324340820e+00
-8.057500000000078488e-01  6.019999999999983142e-01  -5.733750000000009672e-01  -5.556250000000005906e-01  5.505000000000023208e-01  4.573749999999998650e-01  1.606255054473876953e+00
-1.025999999999999135e+00  4.002499999999978297e-01  -4.196249999999998592e-01  -3.786250000000004889e-01  5.887499999999989964e-02  1.238750000000000684e-01  1.646817922592163086e+00
-1.022250000000002323e+00  2.509999999999942832e-01  -3.386250000000021187e-01  -4.236250000000003624e-01  -2.483750000000020663e-01  -4.342500000000000804e-01  1.686042070388793945e+00
-1.129625000000002100e+00  3.925000000000455902e-02  -1.598750000000002947e-01  -2.173749999999988192e-01  -5.072500000000007558e-01  -6.028750000000000497e-01  1.725528955459594727e+00
-1.306374999999998510e+00  -1.972500000000029785e-01  1.102500000000027069e-01  4.849999999999993205e-02  -7.737500000000036016e-01  -3.763749999999999596e-01  1.762212991714477539e+00
-1.197375000000000522e+00  -2.966249999999948095e-01  2.907499999999993423e-01  1.272499999999988918e-01  -9.747499999999964526e-01  -6.283750000000000169e-01  1.799741983413696289e+00
-1.190250000000003805e+00  -3.542500000000003979e-01  2.757500000000016604e-01  1.643750000000013256e-01  -9.142499999999983418e-01  4.249999999999999334e-01  1.846200942993164062e+00
-9.663750000000054241e-01  -4.861249999999969762e-01  3.427499999999992775e-01  1.872499999999999165e-01  -9.166249999999972475e-01  -4.759999999999999787e-01  1.881919860839843750e+00
-1.018249999999998323e+00  -4.442500000000002003e-01  3.624999999999982125e-01  2.813750000000003748e-01  -8.963749999999978124e-01  -7.624999999999992895e-02  1.915360927581787109e+00
-8.422499999999957243e-01  -5.078750000000014087e-01  4.032500000000008300e-01  3.446250000000011804e-01  -9.248750000000055538e-01  -2.262500000000007561e-02  1.949508905410766602e+00
9.862499999999801981e-02  -3.162500000000040279e-02  -1.624999999998155698e-03  3.300000000000177791e-02  9.124999999998717470e-03  -4.350000000000013578e-02  1.989537954330444336e+00
1.487500000000002189e-02  2.662499999999999867e-01  3.674999999999998407e-02  5.255000000000000782e-01  4.846250000000000280e-01  -3.637500000000000455e-02  2.810937881469726562e+00
-1.762499999999999484e-02  -2.246249999999999913e-01  -7.499999999999992784e-03  -1.036249999999999949e-01  2.546249999999999902e-01  7.499999999999998855e-03  2.863455057144165039e+00
6.999999999999994074e-03  2.411249999999999782e-01  1.250000000000003279e-03  -2.538750000000000173e-01  -2.388749999999999762e-01  -2.212499999999999883e-02  2.889874935150146484e+00
8.733749999999997904e-01  -8.678749999999997300e-01  1.292250000000000121e+00  -5.431249999999999689e-01  -3.656249999999999778e-01  9.050000000000001377e-01  2.917383909225463867e+00
1.193249999999999922e+00  -1.592625000000000179e+00  1.571125000000000549e+00  -5.847499999999999920e-01  -1.250000000000165909e-04  1.083250000000000046e+00  2.943095922470092773e+00
1.379000000000000004e+00  -1.713374999999999648e+00  1.907000000000000695e+00  -5.991250000000002407e-01  -3.534999999999999809e-01  1.347374999999999545e+00  2.978528022766113281e+00
1.169375000000000275e+00  -1.565875000000001238e+00  1.736749999999998684e+00  -4.787499999999973721e-02  3.649999999999999772e-02  1.278875000000002204e+00  3.015297889709472656e+00
1.165249999999999675e+00  -1.421124999999998639e+00  1.759624999999997330e+00  -8.250000000000010103e-02  -4.218750000000000555e-01  1.153124999999997957e+00  3.046746969223022461e+00
8.382499999999987184e-01  -1.199375000000002522e+00  1.483750000000005898e+00  -1.381250000000002198e-01  6.516250000000000098e-01  8.813749999999966889e-01  3.082418918609619141e+00
7.847500000000007248e-01  -9.919999999999997708e-01  1.321624999999999828e+00  -1.884999999999994180e-01  2.413749999999999507e-01  7.707500000000006013e-01  3.111499071121215820e+00
5.783749999999989733e-01  -8.504999999999970361e-01  1.105374999999998664e+00  -2.106249999999998679e-01  -2.376249999999999751e-01  5.636250000000015969e-01  3.139885902404785156e+00
3.727499999999980829e-01  -5.196250000000026681e-01  8.806250000000028777e-01  -2.299999999999958328e-02  4.125000000000005398e-03  4.151250000000022977e-01  3.172669887542724609e+00
2.751250000000010631e-01  -3.889999999999935176e-01  6.243750000000033440e-01  -3.962500000000059724e-02  5.974999999999999201e-01  2.391249999999997544e-01  3.206456899642944336e+00
1.782500000000047935e-01  -2.375000000000015987e-01  3.711249999999999272e-01  -4.125000000000048767e-02  2.374999999999998501e-01  1.340000000000021729e-01  3.234834909439086914e+00
-2.350000000000268541e-02  -1.368750000000015787e-01  1.280000000000031113e-01  -1.449999999999975614e-02  3.429999999999999716e-01  4.275000000000112044e-02  3.269095897674560547e+00
-8.837500000000164668e-02  -5.799999999999555511e-02  -1.773750000000004490e-01  5.650000000000012651e-02  -3.711250000000000382e-01  -8.224999999999899059e-02  3.300579071044921875e+00
6.099999999999855538e-02  1.032499999999991758e-01  -8.437499999999764633e-02  -7.087500000000061806e-02  3.506250000000000200e-01  -1.561250000000000138e-01  3.328291893005371094e+00
-1.747500000000012932e-01  2.128749999999943188e-01  -4.042500000000018301e-01  -5.250000000000046296e-03  -1.709999999999999853e-01  -2.169999999999949747e-01  3.360190868377685547e+00
-2.913749999999964979e-01  2.370000000000010987e-01  -4.172500000000009535e-01  6.825000000000060185e-02  1.378750000000000253e-01  -2.807500000000032192e-01  3.395124912261962891e+00
-3.582500000000043983e-01  3.048750000000030602e-01  -5.331250000000022915e-01  3.300000000000004319e-02  4.518750000000000266e-01  -3.145000000000022777e-01  3.422307968139648438e+00
