  v1     v2   v3   v4  v5   v6   t1
0.000000000000000000e+00  0.000000000000000000e+00  -0.000000000000000000e+00  2.396845047769602388e-05  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00
0.000000000000000000e+00  0.000000000000000000e+00  -0.000000000000000000e+00  2.396845047769602388e-05  0.000000000000000000e+00  0.000000000000000000e+00  7.902193069458007812e-02
-1.177202463150024414e-01  -6.640858948230743408e-02  -6.684321165084838867e-02  -8.168447762727737427e-02  -2.242727875709533691e-01  4.908738657832145691e-02  1.693830490112304688e-01
-2.623107135295867920e-01  -2.183110415935516357e-01  -1.181804388761520386e-01  -2.076626569032669067e-01  -5.144827961921691895e-01  1.659335792064666748e-01  2.330138683319091797e-01
-1.332773715257644653e-01  -3.427424430847167969e-01  1.184616684913635254e-01  -1.182603389024734497e-01  -2.232900857925415039e-01  3.336648046970367432e-01  2.973999977111816406e-01
-6.276538129895925522e-03  -3.896822631359100342e-01  2.702490687370300293e-01  -1.100631281733512878e-01  -7.504522055387496948e-02  3.114220798015594482e-01  3.494720458984375000e-01
9.782962501049041748e-02  -4.066455364227294922e-01  3.325158953666687012e-01  4.510862380266189575e-02  -2.758289277553558350e-01  2.399481534957885742e-01  4.095110893249511719e-01
2.522248029708862305e-01  -4.385395646095275879e-01  3.790466487407684326e-01  1.917955428361892700e-01  -5.459294319152832031e-01  2.103950679302215576e-01  4.888150691986083984e-01
3.346890509128570557e-01  -4.834979772567749023e-01  4.447394013404846191e-01  2.615437209606170654e-01  -6.505277156829833984e-01  1.976678073406219482e-01  5.555369853973388672e-01
3.780367970466613770e-01  -4.804939329624176025e-01  4.800848662853240967e-01  2.440946996212005615e-01  -6.231797337532043457e-01  1.829511821269989014e-01  6.180958747863769531e-01
2.990239858627319336e-01  -4.742813110351562500e-01  4.920243620872497559e-01  3.143222630023956299e-01  -5.815944671630859375e-01  1.876010596752166748e-01  6.685419082641601562e-01
3.250505328178405762e-01  -4.668670594692230225e-01  4.977384209632873535e-01  3.649676144123077393e-01  -5.408960580825805664e-01  1.818006932735443115e-01  7.154860496520996094e-01
3.797113895416259766e-01  -4.532274305820465088e-01  4.896466732025146484e-01  4.005367755889892578e-01  -4.927434027194976807e-01  1.714942604303359985e-01  7.699968814849853516e-01
4.378876090049743652e-01  -4.173066914081573486e-01  4.777199625968933105e-01  4.116341769695281982e-01  -4.410913884639739990e-01  1.638723015785217285e-01  8.161509037017822266e-01
4.950028359889984131e-01  -3.869594335556030273e-01  4.565894007682800293e-01  4.182974100112915039e-01  -3.692100048065185547e-01  1.543328613042831421e-01  8.751230239868164062e-01
5.267817974090576172e-01  -3.611374199390411377e-01  4.304605722427368164e-01  4.177940785884857178e-01  -3.044472634792327881e-01  1.447215080261230469e-01  9.165868759155273438e-01
5.414441227912902832e-01  -3.285147845745086670e-01  4.050348401069641113e-01  4.021187126636505127e-01  -2.389654517173767090e-01  1.292139142751693726e-01  9.651849269866943359e-01
5.440518856048583984e-01  -2.825848460197448730e-01  3.655731976032257080e-01  3.810264766216278076e-01  -1.733398288488388062e-01  1.243962571024894714e-01  1.012017011642456055e+00
5.433487892150878906e-01  -2.490801364183425903e-01  3.399429321289062500e-01  3.591912090778350830e-01  -1.182603389024734497e-01  1.145691946148872375e-01  1.057060003280639648e+00
5.402296781539916992e-01  -2.095289975404739380e-01  2.916225492954254150e-01  3.245567977428436279e-01  -3.890079632401466370e-02  1.029684618115425110e-01  1.103947877883911133e+00
5.616926550865173340e-01  -1.632155627012252808e-01  2.466896772384643555e-01  2.815334200859069824e-01  3.298058733344078064e-02  9.045693278312683105e-02  1.150172948837280273e+00
5.779656171798706055e-01  -1.266301125288009644e-01  2.096312642097473145e-01  2.581881582736968994e-01  7.065898925065994263e-02  8.525577932596206665e-02  1.184025049209594727e+00
6.175934672355651855e-01  -7.083156704902648926e-02  1.623079478740692139e-01  2.115215808153152466e-01  1.452727764844894409e-01  7.197725772857666016e-02  1.225925922393798828e+00
6.852675676345825195e-01  -1.092961337417364120e-02  1.026744470000267029e-01  1.536617428064346313e-01  2.295218855142593384e-01  5.972937867045402527e-02  1.272119045257568359e+00
7.330383062362670898e-01  4.420421272516250610e-02  3.836230188608169556e-02  9.688048064708709717e-02  2.944284379482269287e-01  4.935104027390480042e-02  1.315610885620117188e+00
7.456041574478149414e-01  8.420276641845703125e-02  3.374757710844278336e-03  5.227519199252128601e-02  3.183010220527648926e-01  4.573180526494979858e-02  1.354346036911010742e+00
7.520468831062316895e-01  1.382883638143539429e-01  -5.834240466356277466e-02  5.464806687086820602e-03  3.636253774166107178e-01  3.607251867651939392e-02  1.396485090255737305e+00
7.392637133598327637e-01  1.782869249582290649e-01  -9.949143975973129272e-02  -4.613926634192466736e-02  3.940413296222686768e-01  2.732403390109539032e-02  1.440834999084472656e+00
7.163307070732116699e-01  2.032013237476348877e-01  -1.369077861309051514e-01  -8.374577015638351440e-02  4.279087483882904053e-01  2.981675229966640472e-02  1.484446048736572266e+00
6.829026937484741211e-01  2.148851454257965088e-01  -1.567344963550567627e-01  -1.053413376212120056e-01  4.387185275554656982e-01  4.041080921888351440e-02  1.521796941757202148e+00
6.438117623329162598e-01  2.394032776355743408e-01  -1.777372509241104126e-01  -1.329290270805358887e-01  4.620398283004760742e-01  5.054946243762969971e-02  1.568804979324340820e+00
6.144232153892517090e-01  2.599841952323913574e-01  -2.104877382516860962e-01  -1.556271463632583618e-01  4.809029996395111084e-01  -1.438107062131166458e-02  1.606255054473876953e+00
5.731847286224365234e-01  2.803094387054443359e-01  -2.297775447368621826e-01  -1.754969954490661621e-01  4.927434027194976807e-01  -2.876213984563946724e-03  1.646817922592163086e+00
5.355510711669921875e-01  2.939362823963165283e-01  -2.413718849420547485e-01  -1.890152096748352051e-01  4.945650100708007812e-01  -3.499393817037343979e-03  1.686042070388793945e+00
4.958209395408630371e-01  2.960327267646789551e-01  -2.496809512376785278e-01  -2.002564072608947754e-01  4.765886664390563965e-01  1.617870479822158813e-02  1.725528955459594727e+00
4.533680379390716553e-01  2.914308011531829834e-01  -2.509976029396057129e-01  -2.041872292757034302e-01  4.578453600406646729e-01  -3.427488496527075768e-03  1.762212991714477539e+00
4.073869585990905762e-01  2.810764312744140625e-01  -2.428036034107208252e-01  -1.954866796731948853e-01  4.179858267307281494e-01  -3.096723929047584534e-02  1.799741983413696289e+00
3.523553907871246338e-01  2.572741508483886719e-01  -2.255846560001373291e-01  -1.929220557212829590e-01  3.727333843708038330e-01  -1.198422536253929138e-02  1.846200942993164062e+00
3.196049034595489502e-01  2.492718845605850220e-01  -2.192442119121551514e-01  -1.881044059991836548e-01  3.420058190822601318e-01  1.625061035156250000e-02  1.881919860839843750e+00
2.797980904579162598e-01  2.323725223541259766e-01  -2.061414569616317749e-01  -1.735076159238815308e-01  3.062928318977355957e-01  -8.317052386701107025e-03  1.915360927581787109e+00
2.512660622596740723e-01  2.102704197168350220e-01  -1.871328800916671753e-01  -1.662212014198303223e-01  2.727130353450775146e-01  -3.103914298117160797e-02  1.949508905410766602e+00
2.350186407566070557e-01  2.050293236970901489e-01  -1.836175024509429932e-01  -1.552915871143341064e-01  2.569657564163208008e-01  -2.590989507734775543e-02  1.989537954330444336e+00
-1.418932224623858929e-03  -1.797314174473285675e-02  -0.000000000000000000e+00  -2.590989507734775543e-02  -2.126001566648483276e-02  8.388957940042018890e-04  2.810937881469726562e+00
-7.669904152862727642e-04  1.548042334616184235e-02  -0.000000000000000000e+00  -3.619236173108220100e-03  -4.961469210684299469e-03  8.388957940042018890e-04  2.863455057144165039e+00
-6.391586503013968468e-04  -1.256585959345102310e-02  4.422978032380342484e-03  3.652792051434516907e-02  3.940413147211074829e-02  6.711166352033615112e-04  2.889874935150146484e+00
1.059725042432546616e-02  -3.122929297387599945e-02  2.138624899089336395e-02  -3.374757990241050720e-02  -4.889564123004674911e-03  9.395632892847061157e-03  2.917383909225463867e+00
3.957670554518699646e-02  -5.145227164030075073e-02  5.889207869768142700e-02  3.017628006637096405e-02  4.168113693594932556e-02  3.921238705515861511e-02  2.943095922470092773e+00
8.925211429595947266e-02  -1.057296246290206909e-01  1.192797943949699402e-01  2.109223743900656700e-03  3.238137811422348022e-02  8.774849772453308105e-02  2.978528022766113281e+00
1.408066600561141968e-01  -1.736210584640502930e-01  1.936395168304443359e-01  -4.285559058189392090e-02  4.319114983081817627e-02  1.443859487771987915e-01  3.015297889709472656e+00
1.736210584640502930e-01  -2.258658856153488159e-01  2.494380623102188110e-01  -4.053065180778503418e-02  -2.495115809142589569e-02  1.823759377002716064e-01  3.046746969223022461e+00
2.076243013143539429e-01  -2.655960023403167725e-01  3.081128299236297607e-01  -3.492203354835510254e-02  -1.045024488121271133e-02  2.155243158340454102e-01  3.082418918609619141e+00
2.310686409473419189e-01  -2.967613637447357178e-01  3.484437465667724609e-01  -4.604339227080345154e-02  4.700213298201560974e-02  2.322303205728530884e-01  3.111499071121215820e+00
2.481597512960433960e-01  -3.243602514266967773e-01  3.867549002170562744e-01  -5.014199763536453247e-02  3.238137811422348022e-02  2.555755972862243652e-01  3.139885902404785156e+00
2.701084613800048828e-01  -3.502333760261535645e-01  4.176774024963378906e-01  -5.469600483775138855e-02  -3.858920652419328690e-03  2.741990685462951660e-01  3.172669887542724609e+00
2.745697796344757080e-01  -3.632210791110992432e-01  4.393065273761749268e-01  -5.407282337546348572e-02  -1.320661604404449463e-02  2.767876684665679932e-01  3.206456899642944336e+00
2.779061794281005859e-01  -3.712105751037597656e-01  4.546719193458557129e-01  -5.385711044073104858e-02  -4.242416005581617355e-03  2.836666107177734375e-01  3.234834909439086914e+00
2.864197790622711182e-01  -3.758380711078643799e-01  4.595934450626373291e-01  -5.901032686233520508e-02  3.978762775659561157e-03  2.842418551445007324e-01  3.269095897674560547e+00
2.834796607494354248e-01  -3.821146190166473389e-01  4.603092968463897705e-01  -6.401973217725753784e-02  3.547330573201179504e-02  2.861832976341247559e-01  3.300579071044921875e+00
2.702490687370300293e-01  -3.779089450836181641e-01  4.572541117668151855e-01  -6.509831547737121582e-02  4.314321093261241913e-03  2.789688110351562500e-01  3.328291893005371094e+00
2.755029499530792236e-01  -3.709037899971008301e-01  4.508369565010070801e-01  -6.255766004323959351e-02  3.652792051434516907e-02  2.743189334869384766e-01  3.360190868377685547e+00
2.698783576488494873e-01  -3.611374199390411377e-01  4.355354905128479004e-01  -5.577458441257476807e-02  3.803792968392372131e-02  2.661456763744354248e-01  3.395124912261962891e+00
2.537843585014343262e-01  -3.475361466407775879e-01  4.201573431491851807e-01  -5.819539725780487061e-02  -2.159557491540908813e-02  2.557433843612670898e-01  3.422307968139648438e+00
2.435705810785293579e-01  -3.356605768203735352e-01  4.036670625209808350e-01  -5.709284916520118713e-02  4.196875914931297302e-02  2.442624866962432861e-01  3.458355903625488281e+00
2.329094260931015015e-01  -3.094934225082397461e-01  3.742785453796386719e-01  -5.299424380064010620e-02  -9.131980128586292267e-03  2.262142449617385864e-01  3.496800899505615234e+00
2.153325527906417847e-01  -2.971832156181335449e-01  3.505018353462219238e-01  -4.899151250720024109e-02  4.218447208404541016e-02  2.158598750829696655e-01  3.525707006454467773e+00
1.941891908645629883e-01  -2.670788466930389404e-01  3.174956738948822021e-01  -4.359861090779304504e-02  -1.104945596307516098e-02  1.918914169073104858e-01  3.568168878555297852e+00
1.715885400772094727e-01  -2.367954999208450317e-01  2.771519720554351807e-01  -3.969175368547439575e-02  2.159557491540908813e-02  1.659335792064666748e-01  3.616561889648437500e+00
1.609785109758377075e-01  -2.172756046056747437e-01  2.535670399665832520e-01  -3.312439844012260437e-02  9.563411585986614227e-03  1.522236317396163940e-01  3.645324945449829102e+00
1.453319042921066284e-01  -1.999927461147308350e-01  2.332545667886734009e-01  -3.369964286684989929e-02  -4.199272394180297852e-02  1.446016579866409302e-01  3.677160024642944336e+00
1.372784972190856934e-01  -1.921055316925048828e-01  2.193976044654846191e-01  -3.091930225491523743e-02  -4.053065180778503418e-02  1.334802955389022827e-01  3.716827869415283203e+00
-9.970875689759850502e-04  1.124919275753200054e-03  -1.048220205120742321e-03  2.590989507734775543e-02  2.756371907889842987e-02  6.783071439713239670e-03  4.523720026016235352e+00
-9.970875689759850502e-04  1.061003422364592552e-03  -1.291100517846643925e-03  4.098604898899793625e-03  2.797118201851844788e-02  -1.080977171659469604e-02  4.565708875656127930e+00
-1.367799588479101658e-03  8.181231096386909485e-04  -1.470064977183938026e-03  2.590989507734775543e-02  -3.271693363785743713e-02  3.657585754990577698e-02  4.594652891159057617e+00
-1.743624918162822723e-02  2.977201156318187714e-02  -3.390097618103027344e-02  -2.042111940681934357e-02  3.238137811422348022e-02  4.673847928643226624e-03  4.625746011734008789e+00
-5.186133459210395813e-02  9.614224731922149658e-02  -1.296597272157669067e-01  3.993143886327743530e-02  3.621632978320121765e-02  -4.554005712270736694e-02  4.663699865341186523e+00
-9.205163270235061646e-02  1.764461398124694824e-01  -2.343155741691589355e-01  5.251487717032432556e-02  4.333495721220970154e-02  -8.815596252679824829e-02  4.703629016876220703e+00
-1.276144236326217651e-01  2.605338692665100098e-01  -3.397000432014465332e-01  7.729825377464294434e-02  -8.964200504124164581e-03  -1.261938959360122681e-01  4.741800069808959961e+00
-1.684183180332183838e-01  3.260476291179656982e-01  -4.317005574703216553e-01  9.048090130090713501e-02  -2.590989507734775543e-02  -1.523434668779373169e-01  4.780440092086791992e+00
-1.824670135974884033e-01  3.669282197952270508e-01  -5.026215910911560059e-01  9.894176572561264038e-02  -8.029431104660034180e-03  -1.741068214178085327e-01  4.816066980361938477e+00
-2.073047310113906860e-01  4.126152694225311279e-01  -5.595450997352600098e-01  1.108061447739601135e-01  2.732403343543410301e-03  -1.907409280538558960e-01  4.850135087966918945e+00
-2.196021378040313721e-01  4.462861418724060059e-01  -6.123906970024108887e-01  1.134187057614326477e-01  3.580886498093605042e-02  -2.095801383256912231e-01  4.877731084823608398e+00
-2.359262555837631226e-01  4.735143184661865234e-01  -6.631910204887390137e-01  1.219275072216987610e-01  4.980644211173057556e-02  -2.196708470582962036e-01  4.909867048263549805e+00
